iter	AUC	Logloss
134	0.8554314117	0.4022370722
135	0.8554537067	0.402195209
136	0.8555276517	0.4020705004
137	0.8555780012	0.4020207361
138	0.8556944925	0.4018865457
139	0.8558063391	0.4017175356
140	0.8559060162	0.401584046
141	0.8559825623	0.4015020154
142	0.855993524	0.4014642197
143	0.8559957535	0.4014627206
144	0.8560687696	0.4014048002
145	0.8561260863	0.4013536262
146	0.8561299879	0.4013354355
147	0.8561688184	0.4012983269
148	0.856155813	0.4012961265
149	0.8561857254	0.4012465995
150	0.8561855396	0.4012444428
151	0.8561873975	0.4012387613
152	0.8563455061	0.4010921907
153	0.8563809923	0.4010625056
154	0.8563847082	0.4010604331
155	0.8564101616	0.4010185249
156	0.8564495494	0.4009569816
157	0.8564603253	0.4009340907
158	0.8564750029	0.40089468
159	0.8564731449	0.4008891697
160	0.8565708713	0.4007826778
161	0.8566013411	0.4006867657
162	0.856744029	0.4004843953
163	0.8568345095	0.4003844726
164	0.8568517881	0.4003637931
165	0.8568709247	0.4003402144
166	0.8568826295	0.4003271207
167	0.8569151431	0.400267745
168	0.8569153288	0.4002675444
169	0.8569654926	0.4002213579
170	0.8569754324	0.400214379
171	0.8569806346	0.4001896452
172	0.8569945689	0.400168691
173	0.8570376726	0.4001426926
174	0.8570412026	0.400115357
175	0.8570696287	0.40008403
176	0.8571164482	0.3999762545
177	0.8571197924	0.3999717687
178	0.8571537923	0.3998898601
179	0.8571876064	0.3998596067
180	0.8572059997	0.3998417599
181	0.8573678242	0.399664112
182	0.8574209606	0.3995944964
183	0.8575406103	0.3994274386
184	0.8575675501	0.3994119864
185	0.8575820418	0.3993971098
186	0.8576543147	0.3993323376
187	0.8577386641	0.3992057014
188	0.8577537132	0.3991782787
189	0.8577568717	0.3991739396
190	0.8577930081	0.399141311
191	0.8578108441	0.3991125802
192	0.8578336965	0.3990927155
193	0.8579132153	0.3990293134
194	0.8579202754	0.3990060581
195	0.8579341168	0.398987174
196	0.8579701604	0.3989541035
197	0.8579710893	0.3989531216
198	0.8579759199	0.3989230493
199	0.8579896685	0.3989099365
200	0.8580219962	0.3988707943
201	0.8581169357	0.3987572373
202	0.8581524219	0.3986743483
203	0.8582204216	0.3986105334
204	0.8582220937	0.3986044534
205	0.8582510772	0.3985704715
206	0.8582616673	0.398559456
207	0.8582651974	0.3985562076
208	0.8582759733	0.3985464758
209	0.8583692406	0.3984113586
210	0.8583906067	0.3983977125
211	0.8583995247	0.3983811738
212	0.8584890762	0.3982977033
213	0.8585422126	0.398247796
214	0.8587977689	0.3978591971
215	0.8589064569	0.3977512504
216	0.8589131454	0.397746724
217	0.8590510028	0.3976013354
218	0.8590359536	0.3975829875
219	0.8590929916	0.3975239877
220	0.8591100845	0.3975039735
221	0.8591041391	0.3975022454
222	0.8591232757	0.3974791451
223	0.8591479859	0.3974619136
224	0.8591914612	0.3974315507
225	0.859203166	0.3974136293
226	0.8592091114	0.3974124468
227	0.8593138049	0.3973212113
228	0.8593212366	0.3973018447
229	0.8593028432	0.3972855452
230	0.8594009411	0.3971656969
231	0.8594040996	0.3971646482
232	0.8594845473	0.397090415
233	0.8594917932	0.397081889
234	0.8595021975	0.3970461784
235	0.8595794868	0.3969336178
236	0.8596378254	0.3968739516
237	0.8596707105	0.3968214623
238	0.8596992295	0.3967970138
239	0.8597586828	0.3967408127
240	0.8598027154	0.3966898625
241	0.85983783	0.3966266848
242	0.8599899933	0.396479813
243	0.8600350477	0.3964387525
244	0.8600537198	0.3964057172
245	0.8600856759	0.396376763
246	0.8600860475	0.3963758222
247	0.8601215337	0.396325436
248	0.8601526538	0.3962888231
249	0.8601526538	0.396288822
250	0.8602024459	0.3962459912
251	0.8602024459	0.3962436872
252	0.8602132218	0.3961527876
253	0.8602126644	0.3961459856
254	0.8602485222	0.396102127
255	0.860263014	0.3960677891
256	0.8602818718	0.3960579169
257	0.8602844729	0.3960543315
258	0.8602993362	0.396031668
259	0.8602991504	0.3960316626
260	0.8603023089	0.396027038
261	0.8603166148	0.396005919
262	0.8603887019	0.3959176016
263	0.860400221	0.3959133523
264	0.8604370077	0.395864193
265	0.8604921878	0.3958178992
266	0.8605629744	0.3957349465
267	0.8606335752	0.3956179884
268	0.8606556844	0.3955972109
269	0.8607278644	0.3955256847
270	0.8608854157	0.3953572576
271	0.8608982353	0.3953262549
272	0.8609155139	0.3953032673
273	0.8609251751	0.3952943502
274	0.8609575028	0.3952645229
275	0.8610095244	0.3952387442
276	0.861013426	0.3952339083
277	0.8610191856	0.3952054396
278	0.8610136118	0.3952042892
279	0.8610360926	0.3951790071
280	0.8610418521	0.3951786098
281	0.8611577861	0.3950350708
282	0.8611635456	0.3950232939
283	0.8612079498	0.3949895469
284	0.8612040482	0.3949879672
285	0.861211294	0.3949717759
286	0.8612127804	0.3949691384
287	0.8612537474	0.394932323
288	0.8612981516	0.3948865279
289	0.8613074412	0.3948598611
